מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
"450270-אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאור שמעון צ'קוטאי,4,117,94,4.4
460667-אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ורדית כהנא,2,65,64,33.6
477901-מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ליאנא האשם,6,163,31,7.5
478909-בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,1,20,0,0
"499897-בי""ס אשרקאת אלג'ד",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מאגדה אבראהים חדר,1,36,0,0
511550-אום טובה לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מחמד אבו טיר,3,97,0,0
511618-נווה הראל,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,2,46,40,15.7
"511808-בי""ס יסודי מדל איסט",ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ולאא אמבייד,2,30,0,0
512343-יסודי אלמסתקבל שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נג'את עמורה,1,31,0,0
512459-הניסויי כפר אדומים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,נועם שכטר,5,106,29,4.6
512509-קדם,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אהרון פרידלנדר,2,42,1,5
522441-אלפקיה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,רובא מומני,2,66,0,0
"540500-ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ענבל לוי,6,182,148,11
611871-מבוא חורון בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,אורה קראוז,2,40,31,9
615948-ישיבת מקור חיים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יהונתן גוטמן,3,100,1,5
"615955-אח""י תקוע 2",גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,6,113,63,3.3
"615971-חב""ד בנות",בית שמש,ירושלים,יהודי,מרים ויצמן,חנה אריה,2,32,27,29.4
616151-נווה השחר,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,טליה נחמה שקד,2,64,58,15.3
616508-אלסופרא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,רובא חשים אבו דייה,3,86,2,1
