מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
168021-צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,2,40,0,0
168419-אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,3,71,32,3.9
170043-תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,3,50,47,5.2
"170092-קשת ראם ע""ש אליס סליגסברג",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,4,82,16,1.1
170399-חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,6,181,12,1.1
170514-אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,דורון לופז,4,90,30,1.7
170803-עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,יהודית אילוק,7,184,138,7.5
178137-אמירה בסמא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,שירין סעיד,2,39,0,0
178178-סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אמאל אשקיראת,7,185,143,2.8
178194-על יסודי אלחית כפר עקב,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,עיסא נאסר,2,83,0,0
179754-כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אמאני פלאח,3,85,81,5.5
184010-פריר בית חנינא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,גורג נבר,3,107,0,0
